# Rasgos activos de la red NNUE, calculados por Vigía: el sentido A del vector dorado.
# generador indices --semilla 20260911 — 100 partidas aleatorias.
# Una línea por posición: categoría|fen|rasgos vistos por las blancas|rasgos vistos por las negras
desequilibrio|4kn2/1p3p2/rp1ppK2/3q4/8/8/3PP1B1/nN6 b - - 5 24|11 12 65 142 365 425 427 428 433 437 448 509 616 675 764|9 13 17 19 20 69 120 208 283 324 435 436 505 566 725
desequilibrio|4kn2/1p3p2/rp1ppK2/8/8/8/3PP1q1/nN6 w - - 0 25|11 12 65 365 425 427 428 433 437 448 509 616 654 764|9 13 17 19 20 69 120 208 310 324 435 436 505 725
desequilibrio|4kn2/1p3p2/rp1ppK2/8/8/N7/3PP1q1/n7 b - - 1 25|11 12 80 365 425 427 428 433 437 448 509 616 654 764|9 13 17 19 20 69 120 208 310 324 435 436 488 725
desequilibrio|4kn2/1p3p2/rp1ppK2/8/8/N7/3Pq3/n7 w - - 0 26|11 80 365 425 427 428 433 437 448 509 616 652 764|9 13 17 19 20 69 120 208 308 324 435 488 725
desequilibrio|4kn2/1p3p2/rp1ppK2/1N6/8/8/3Pq3/n7 b - - 1 26|11 97 365 425 427 428 433 437 448 509 616 652 764|9 13 17 19 20 69 120 208 308 324 435 473 725
desequilibrio|4kn2/1p3p2/rp1ppK2/1N6/8/8/3q4/n7 w - - 0 27|97 365 425 427 428 433 437 448 509 616 651 764|9 13 17 19 20 69 120 208 307 324 473 725
desequilibrio|4kn2/1p3p2/rp1NpK2/8/8/8/3q4/n7 b - - 0 27|107 365 425 428 433 437 448 509 616 651 764|9 13 17 20 69 120 208 307 324 467 725
desequilibrio|3k1n2/1p3p2/rp1NpK2/8/8/8/3q4/n7 w - - 1 28|107 365 425 428 433 437 448 509 616 651 763|9 13 17 20 69 120 208 307 323 467 725
desequilibrio|3k1n2/1p3N2/rp2pK2/8/8/8/3q4/n7 b - - 0 28|117 365 425 428 433 448 509 616 651 763|9 17 20 69 120 208 307 323 461 725
desequilibrio|5n2/1pk2N2/rp2pK2/8/8/8/3q4/n7 w - - 1 29|117 365 425 428 433 448 509 616 651 754|9 17 20 69 120 208 307 330 461 725
desequilibrio|5n2/1pk5/rp2pK2/4N3/8/8/3q4/n7 b - - 2 29|100 365 425 428 433 448 509 616 651 754|9 17 20 69 120 208 307 330 476 725
desequilibrio|5n2/1pk5/rp2pK2/4N3/8/8/1q6/n7 w - - 3 30|100 365 425 428 433 448 509 616 649 754|9 17 20 69 120 208 305 330 476 725
desequilibrio|5n2/1pk2K2/rp2p3/4N3/8/8/1q6/n7 b - - 4 30|100 373 425 428 433 448 509 616 649 754|9 17 20 69 120 208 305 330 476 717
desequilibrio|5n2/1pk2K2/rp2p3/4q3/8/8/8/n7 w - - 0 31|373 425 428 433 448 509 616 676 754|9 17 20 69 120 208 284 330 717
desequilibrio|1rq4r/p1pkp2p/4p3/1p6/1P3N1P/2P1P1P1/P4K2/7R w - - 1 20|8 18 20 22 25 31 93 199 333 417 428 432 434 436 439 633 639 698 755|8 10 12 15 20 25 193 199 258 331 417 423 426 428 430 432 485 639 757
desequilibrio|1rq4r/p1pkp2p/4N3/1p6/1P5P/2P1P1P1/P4K2/7R b - - 0 20|8 18 20 22 25 31 108 199 333 417 432 434 436 439 633 639 698 755|8 10 12 15 25 193 199 258 331 417 423 426 428 430 432 468 639 757
desequilibrio|1rq4r/p1p1p2p/4k3/1p6/1P5P/2P1P1P1/P4K2/7R w - - 0 21|8 18 20 22 25 31 199 333 417 432 434 436 439 633 639 698 748|8 10 12 15 25 193 199 258 340 417 423 426 428 430 432 639 757
desequilibrio|1rq4r/p1p1p2p/4k3/1p6/1P4PP/2P1P3/P4K2/7R b - - 0 21|8 18 20 25 30 31 199 333 417 432 434 436 439 633 639 698 748|8 10 12 15 25 193 199 258 340 417 422 423 426 428 432 639 757
desequilibrio|1r5r/p1p1p2p/q3k3/1p6/1P4PP/2P1P3/P4K2/7R w - - 1 22|8 18 20 25 30 31 199 333 417 432 434 436 439 633 639 680 748|8 10 12 15 25 193 199 272 340 417 422 423 426 428 432 639 757
desequilibrio|1r5r/p1p1p2p/q3k3/1p6/1P4PP/2P1P3/P7/4K2R b - - 2 22|8 18 20 25 30 31 199 324 417 432 434 436 439 633 639 680 748|8 10 12 15 25 193 199 272 340 417 422 423 426 428 432 639 764
desequilibrio|1r5r/p1p1p2p/4k3/1p6/1P4PP/2P1P3/q7/4K2R w - - 0 23|18 20 25 30 31 199 324 417 432 434 436 439 633 639 648 748|8 10 12 15 25 193 199 304 340 417 422 423 426 428 639 764
desequilibrio|1r5r/p1p1p2p/4k3/1p6/1P4PP/2P1P3/q6R/4K3 b - - 1 23|18 20 25 30 31 207 324 417 432 434 436 439 633 639 648 748|8 10 12 15 25 193 199 304 340 417 422 423 426 428 631 764
desequilibrio|1r5r/p1p1p3/4k2p/1p6/1P4PP/2P1P3/q6R/4K3 w - - 0 24|18 20 25 30 31 207 324 417 431 432 434 436 633 639 648 748|8 10 12 23 25 193 199 304 340 417 422 423 426 428 631 764
desequilibrio|1r5r/p1p1p3/4k2p/1p6/1P4PP/2P1P3/R7/4K3 b - - 0 24|18 20 25 30 31 200 324 417 431 432 434 436 633 639 748|8 10 12 23 25 193 199 340 417 422 423 426 428 624 764
desequilibrio|5r1r/p1p1p3/4k2p/1p6/1P4PP/2P1P3/R7/4K3 w - - 1 25|18 20 25 30 31 200 324 417 431 432 434 436 637 639 748|8 10 12 23 25 197 199 340 417 422 423 426 428 624 764
desequilibrio|5r1r/R1p1p3/4k2p/1p6/1P4PP/2P1P3/8/4K3 b - - 0 25|18 20 25 30 31 240 324 417 431 434 436 637 639 748|10 12 23 25 197 199 340 417 422 423 426 428 584 764
desequilibrio|5r1r/R1p1p3/4k3/1p5p/1P4PP/2P1P3/8/4K3 w - - 0 26|18 20 25 30 31 240 324 417 423 434 436 637 639 748|10 12 25 31 197 199 340 417 422 423 426 428 584 764
desequilibrio|5r1r/R1p1p3/4k3/1p5P/1P5P/2P1P3/8/4K3 b - - 0 26|18 20 25 31 39 240 324 417 434 436 637 639 748|10 12 25 197 199 340 415 417 423 426 428 584 764
desequilibrio|5r2/R1p1p3/4k2r/1p5P/1P5P/2P1P3/8/4K3 w - - 1 27|18 20 25 31 39 240 324 417 434 436 623 637 748|10 12 25 197 215 340 415 417 423 426 428 584 764
desequilibrio|5r2/4k3/5r2/1p5P/1P5P/2P1P3/8/4K3 w - - 0 29|18 20 25 31 39 324 417 621 637 756|25 197 213 332 415 417 423 426 428 764
desequilibrio|5r2/4k3/5r2/1p5P/1P5P/2P1P3/3K4/8 b - - 1 29|18 20 25 31 39 331 417 621 637 756|25 197 213 332 415 417 423 426 428 755
desequilibrio|5r2/4k3/r7/1p5P/1P5P/2P1P3/3K4/8 w - - 2 30|18 20 25 31 39 331 417 616 637 756|25 197 208 332 415 417 423 426 428 755
desequilibrio|5r2/4k3/r6P/1p6/1P5P/2P1P3/3K4/8 b - - 0 30|18 20 25 31 47 331 417 616 637 756|25 197 208 332 407 417 423 426 428 755
desequilibrio|5r2/4k3/7r/1p6/1P5P/2P1P3/3K4/8 w - - 0 31|18 20 25 31 331 417 623 637 756|25 197 215 332 417 423 426 428 755
desequilibrio|5r2/4k3/7r/1p6/1P2P2P/2P5/3K4/8 b - - 0 31|18 25 28 31 331 417 623 637 756|25 197 215 332 417 420 423 426 755
desequilibrio|5r2/4k2r/8/1p6/1P2P2P/2P5/3K4/8 w - - 1 32|18 25 28 31 331 417 631 637 756|25 197 207 332 417 420 423 426 755
desequilibrio|5r2/4k2r/8/1p2P3/1P5P/2P5/3K4/8 b - - 0 32|18 25 31 36 331 417 631 637 756|25 197 207 332 412 417 423 426 755
desequilibrio|7B/2p2k2/8/8/6nP/8/4K3/1R3BNR b - - 0 23|31 70 133 191 193 199 332 434 478 757|10 102 333 423 510 519 573 633 639 756
desequilibrio|6kB/2p5/8/8/6nP/8/4K3/1R3BNR w - - 1 24|31 70 133 191 193 199 332 434 478 766|10 102 326 423 510 519 573 633 639 756
desequilibrio|6kB/2p5/8/8/1R4nP/8/4K3/5BNR b - - 2 24|31 70 133 191 199 217 332 434 478 766|10 102 326 423 510 519 573 609 639 756
desequilibrio|7B/2p2k2/8/8/1R4nP/8/4K3/5BNR w - - 3 25|31 70 133 191 199 217 332 434 478 757|10 102 333 423 510 519 573 609 639 756
desequilibrio|7B/2p2k2/8/8/6RP/8/4K3/5BNR b - - 0 25|31 70 133 191 199 222 332 434 757|10 333 423 510 519 573 614 639 756
desequilibrio|7B/2p1k3/8/8/6RP/8/4K3/5BNR w - - 1 26|31 70 133 191 199 222 332 434 756|10 332 423 510 519 573 614 639 756
desequilibrio|7B/2p1k3/8/8/5R1P/8/4K3/5BNR b - - 2 26|31 70 133 191 199 221 332 434 756|10 332 423 510 519 573 613 639 756
desequilibrio|7B/4k3/8/2p5/7P/5R2/4K3/5BNR b - - 1 27|31 70 133 191 199 213 332 418 756|26 332 423 510 519 573 621 639 756
desequilibrio|4k2B/8/8/2p5/7P/5R2/4K3/5BNR w - - 2 28|31 70 133 191 199 213 332 418 764|26 324 423 510 519 573 621 639 756
desequilibrio|4k3/8/5B2/2p5/7P/5R2/4K3/5BNR b - - 3 28|31 70 133 173 199 213 332 418 764|26 324 423 510 533 573 621 639 756
desequilibrio|8/5k2/5B2/2p5/7P/5R2/4K3/5BNR w - - 4 29|31 70 133 173 199 213 332 418 757|26 333 423 510 533 573 621 639 756
desequilibrio|8/5k2/5B2/2p5/7P/6R1/4K3/5BNR b - - 5 29|31 70 133 173 199 214 332 418 757|26 333 423 510 533 573 622 639 756
desequilibrio|2r1k3/p1p1pp2/1n6/7p/1P3P2/4P2P/P1PK4/RN4Nq b - - 1 14|8 10 20 23 25 29 65 70 192 331 423 432 434 436 437 489 634 647 764|8 10 12 13 31 81 194 319 324 417 421 428 431 432 434 505 510 632 755
desequilibrio|2r1k3/p1p1pp2/1n6/7p/1P3P2/4P2P/P1PK4/RN4q1 w - - 0 15|8 10 20 23 25 29 65 192 331 423 432 434 436 437 489 634 646 764|8 10 12 13 31 81 194 318 324 417 421 428 431 432 434 505 632 755
desequilibrio|2r1k3/p1p1pp2/1n6/7p/1P2PP2/7P/P1PK4/RN4q1 b - - 0 15|8 10 23 25 28 29 65 192 331 423 432 434 436 437 489 634 646 764|8 10 12 13 31 81 194 318 324 417 420 421 431 432 434 505 632 755
desequilibrio|2r1k3/p1p1pp2/1n6/7p/1P2PP2/7P/P1PK4/RNq5 w - - 1 16|8 10 23 25 28 29 65 192 331 423 432 434 436 437 489 634 642 764|8 10 12 13 31 81 194 314 324 417 420 421 431 432 434 505 632 755
desequilibrio|4k3/4pp2/pn6/5P1p/P3P3/7P/2K5/RN6 b - - 0 21|23 24 28 37 65 192 330 423 424 436 437 489 764|12 13 16 31 81 324 413 416 420 431 505 632 754
desequilibrio|4k3/4pp2/p7/5P1p/n3P3/7P/2K5/RN6 w - - 0 22|23 28 37 65 192 330 423 424 436 437 472 764|12 13 16 31 96 324 413 420 431 505 632 754
desequilibrio|4k3/4pp2/p7/5P1p/n3P3/R6P/2K5/1N6 b - - 1 22|23 28 37 65 208 330 423 424 436 437 472 764|12 13 16 31 96 324 413 420 431 505 616 754
desequilibrio|4k3/5p2/p7/4pP1p/n3P3/7P/R1K5/1N6 b - - 1 23|23 28 37 65 200 330 420 423 424 437 472 764|13 16 28 31 96 324 413 420 431 505 624 754
desequilibrio|5k2/5p2/p7/4pP1p/n3P3/7P/R1K5/1N6 w - - 2 24|23 28 37 65 200 330 420 423 424 437 472 765|13 16 28 31 96 325 413 420 431 505 624 754
desequilibrio|5k2/5p2/p7/4pP1p/R3P3/7P/2K5/1N6 b - - 0 24|23 28 37 65 216 330 420 423 424 437 765|13 16 28 31 325 413 420 431 505 608 754
desequilibrio|4k3/5p2/p7/4pP1p/R3P3/7P/2K5/1N6 w - - 1 25|23 28 37 65 216 330 420 423 424 437 764|13 16 28 31 324 413 420 431 505 608 754
desequilibrio|4k3/5p2/p7/4pP1p/4P3/R6P/2K5/1N6 b - - 2 25|23 28 37 65 208 330 420 423 424 437 764|13 16 28 31 324 413 420 431 505 616 754
desequilibrio|5k2/5p2/p7/4pP1p/4P3/R6P/2K5/1N6 w - - 3 26|23 28 37 65 208 330 420 423 424 437 765|13 16 28 31 325 413 420 431 505 616 754
desequilibrio|5k2/5p2/R7/4pP1p/4P3/7P/2K5/1N6 b - - 0 26|23 28 37 65 232 330 420 423 437 765|13 28 31 325 413 420 431 505 592 754
desequilibrio|8/4kp2/R7/4pP1p/4P3/7P/2K5/1N6 w - - 1 27|23 28 37 65 232 330 420 423 437 756|13 28 31 332 413 420 431 505 592 754
desequilibrio|8/4kp2/4R3/4pP1p/4P3/7P/2K5/1N6 b - - 2 27|23 28 37 65 236 330 420 423 437 756|13 28 31 332 413 420 431 505 596 754
desequilibrio|8/4k3/4p3/4pP1p/4P3/7P/2K5/1N6 w - - 0 28|23 28 37 65 330 420 423 428 756|20 28 31 332 413 420 431 505 754
desequilibrio|1n3bnr/r3p1pp/1p2b3/6k1/4P3/2P4P/PP3P1P/RN1K1B1R b - - 1 13|8 9 13 15 18 23 28 65 133 192 199 323 425 436 438 439 505 510 556 573 624 639 742|12 14 15 17 65 70 133 148 199 200 350 420 426 431 432 433 437 439 505 573 632 639 763
desequilibrio|1n3bnr/r3p1pp/1p6/6k1/4P3/2P4b/PP3P1P/RN1K1B1R w - - 0 14|8 9 13 15 18 28 65 133 192 199 323 425 436 438 439 505 510 535 573 624 639 742|12 14 15 17 65 70 133 175 199 200 350 420 426 432 433 437 439 505 573 632 639 763
desequilibrio|1n3bnr/r3p1pp/1p6/6k1/4P3/N1P4b/PP3P1P/R2K1B1R b - - 1 14|8 9 13 15 18 28 80 133 192 199 323 425 436 438 439 505 510 535 573 624 639 742|12 14 15 17 65 70 133 175 199 200 350 420 426 432 433 437 439 488 573 632 639 763
desequilibrio|1n3bnr/3rp1pp/1p6/6k1/4P3/N1P4b/PP3P1P/R2K1B1R w - - 2 15|8 9 13 15 18 28 80 133 192 199 323 425 436 438 439 505 510 535 573 627 639 742|12 14 15 17 65 70 133 175 199 203 350 420 426 432 433 437 439 488 573 632 639 763
desequilibrio|1n3bnr/3rp1pp/1p6/6k1/4P3/N1P4b/PP3P1P/R3KB1R b - - 3 15|8 9 13 15 18 28 80 133 192 199 324 425 436 438 439 505 510 535 573 627 639 742|12 14 15 17 65 70 133 175 199 203 350 420 426 432 433 437 439 488 573 632 639 764
desequilibrio|1n3bnr/3rp1pp/1p6/6k1/4P3/N1P5/PP3P1P/R3Kb1R w - - 0 16|8 9 13 15 18 28 80 192 199 324 425 436 438 439 505 510 517 573 627 639 742|12 14 15 17 65 70 133 189 199 203 350 420 426 432 433 437 439 488 632 639 764
desequilibrio|1n3bnr/3rp1pp/1p6/6k1/4P3/N1P5/PP3P1P/R3KR2 b - - 0 16|8 9 13 15 18 28 80 192 197 324 425 436 438 439 505 510 573 627 639 742|12 14 15 17 65 70 133 199 203 350 420 426 432 433 437 439 488 632 637 764
desequilibrio|5bnr/3rp1pp/1pn5/6k1/4P3/N1P5/PP3P1P/R3KR2 w - - 1 17|8 9 13 15 18 28 80 192 197 324 425 436 438 439 490 510 573 627 639 742|12 14 15 17 70 82 133 199 203 350 420 426 432 433 437 439 488 632 637 764
desequilibrio|5bnr/3rp1pp/1pn5/1N4k1/4P3/2P5/PP3P1P/R3KR2 b - - 2 17|8 9 13 15 18 28 97 192 197 324 425 436 438 439 490 510 573 627 639 742|12 14 15 17 70 82 133 199 203 350 420 426 432 433 437 439 473 632 637 764
desequilibrio|5bnr/4p1pp/1pn5/1N4k1/4P3/2P5/PP3P1P/R2rKR2 w - - 3 18|8 9 13 15 18 28 97 192 197 324 425 436 438 439 490 510 573 579 639 742|12 14 15 17 70 82 133 199 251 350 420 426 432 433 437 439 473 632 637 764
desequilibrio|7r/6p1/1pnbp2k/4n3/7p/2P1K3/PP3P1P/1RR5 w - - 0 28|8 9 13 15 18 193 194 340 415 425 428 438 484 490 555 639 751|14 17 20 39 82 92 147 199 343 426 432 433 437 439 633 634 748
desequilibrio|7r/6p1/1pnbp2k/4n3/7p/P1P1K3/1P3P1P/1RR5 b - - 0 28|9 13 15 16 18 193 194 340 415 425 428 438 484 490 555 639 751|14 17 20 39 82 92 147 199 343 424 426 433 437 439 633 634 748
desequilibrio|7r/6p1/1pn1p2k/4n3/7p/b1P1K3/1P3P1P/1RR5 w - - 0 29|9 13 15 18 193 194 340 415 425 428 438 484 490 528 639 751|14 17 20 39 82 92 168 199 343 426 433 437 439 633 634 748
desequilibrio|7r/6p1/1pn1p2k/4n3/7p/b1P1K3/1P3P1P/R1R5 b - - 1 29|9 13 15 18 192 194 340 415 425 428 438 484 490 528 639 751|14 17 20 39 82 92 168 199 343 426 433 437 439 632 634 748
desequilibrio|7r/4n1p1/1p2p2k/4n3/7p/b1P1K3/1P3P1P/R1R5 w - - 2 30|9 13 15 18 192 194 340 415 425 428 438 484 500 528 639 751|14 17 20 39 76 92 168 199 343 426 433 437 439 632 634 748
desequilibrio|7r/4n1p1/1p2p2k/4n3/7p/b1P1K3/1P3P1P/R5R1 b - - 3 30|9 13 15 18 192 198 340 415 425 428 438 484 500 528 639 751|14 17 20 39 76 92 168 199 343 426 433 437 439 632 638 748
desequilibrio|7r/4n1p1/1p2p2k/4n3/7p/2P1K3/1b3P1P/R5R1 w - - 0 31|13 15 18 192 198 340 415 425 428 438 484 500 521 639 751|14 17 20 39 76 92 177 199 343 426 437 439 632 638 748
desequilibrio|7r/4n1R1/1p2p2k/4n3/7p/2P1K3/1b3P1P/R7 b - - 0 31|13 15 18 192 246 340 415 425 428 484 500 521 639 751|17 20 39 76 92 177 199 343 426 437 439 590 632 748
desequilibrio|7r/4n1R1/1p2p2k/4n3/7p/2P1K3/5P1P/b7 w - - 0 32|13 15 18 246 340 415 425 428 484 500 512 639 751|17 20 39 76 92 184 199 343 426 437 439 590 748
desequilibrio|7r/4R3/1p2p2k/4n3/7p/2P1K3/5P1P/b7 b - - 0 32|13 15 18 244 340 415 425 428 484 512 639 751|17 20 39 92 184 199 343 426 437 439 588 748
desequilibrio|6r1/4R3/1p2p2k/4n3/7p/2P1K3/5P1P/b7 w - - 1 33|13 15 18 244 340 415 425 428 484 512 638 751|17 20 39 92 184 198 343 426 437 439 588 748
desequilibrio|6r1/8/1p2R2k/4n3/7p/2P1K3/5P1P/b7 b - - 0 33|13 15 18 236 340 415 425 484 512 638 751|17 39 92 184 198 343 426 437 439 596 748
desequilibrio|6r1/6k1/1p2R3/4n3/7p/2P1K3/5P1P/b7 w - - 1 34|13 15 18 236 340 415 425 484 512 638 758|17 39 92 184 198 334 426 437 439 596 748
desequilibrio|8/5k2/8/p7/2P2K1p/8/5P1P/b5r1 w - - 0 38|13 15 26 349 415 416 512 582 757|24 39 184 254 333 418 437 439 741
desequilibrio|8/5k2/8/p4K2/2P4p/8/5P1P/b5r1 b - - 1 38|13 15 26 357 415 416 512 582 757|24 39 184 254 333 418 437 439 733
desequilibrio|8/5kb1/8/p4K2/2P4p/8/5P1P/6r1 w - - 2 39|13 15 26 357 415 416 566 582 757|24 39 142 254 333 418 437 439 733
desequilibrio|5b2/5k2/8/p4K2/2P2P1p/8/7P/6r1 w - - 1 40|15 26 29 357 415 416 573 582 757|24 39 133 254 333 418 421 439 733
desequilibrio|5b2/5k2/8/p3K3/2P2P1p/8/7P/6r1 b - - 2 40|15 26 29 356 415 416 573 582 757|24 39 133 254 333 418 421 439 732
desequilibrio|8/4bk2/8/p3K3/2P2P1p/8/7P/6r1 w - - 3 41|15 26 29 356 415 416 564 582 757|24 39 140 254 333 418 421 439 732
desequilibrio|8/4bk2/8/p4K2/2P2P1p/8/7P/6r1 b - - 4 41|15 26 29 357 415 416 564 582 757|24 39 140 254 333 418 421 439 733
desequilibrio|8/4bk2/8/p4K2/2P2P1p/6r1/7P/8 w - - 5 42|15 26 29 357 415 416 564 598 757|24 39 140 238 333 418 421 439 733
desequilibrio|8/4bk2/8/p1P2K2/5P1p/6r1/7P/8 b - - 0 42|15 29 34 357 415 416 564 598 757|24 39 140 238 333 410 421 439 733
desequilibrio|Rnbq1knr/1ppp1p1p/4p3/6p1/8/2P5/3PPPPR/2Q1KB2 b - - 1 11|11 12 13 14 18 133 207 248 258 324 422 428 433 434 435 437 439 505 510 570 639 699 765|9 10 11 13 15 20 30 65 70 130 199 259 325 426 435 436 437 438 573 576 631 698 764
desequilibrio|Rnbqk1nr/1ppp1p1p/4p3/6p1/8/2P5/3PPPPR/2Q1KB2 w - - 2 12|11 12 13 14 18 133 207 248 258 324 422 428 433 434 435 437 439 505 510 570 639 699 764|9 10 11 13 15 20 30 65 70 130 199 259 324 426 435 436 437 438 573 576 631 698 764
desequilibrio|Rnbqk1nr/1ppp1p1p/4p3/6p1/8/2P5/3PPPP1/2Q1KB1R b - - 3 12|11 12 13 14 18 133 199 248 258 324 422 428 433 434 435 437 439 505 510 570 639 699 764|9 10 11 13 15 20 30 65 70 130 199 259 324 426 435 436 437 438 573 576 639 698 764
desequilibrio|Rnb1k1nr/1pppqp1p/4p3/6p1/8/2P5/3PPPP1/2Q1KB1R w - - 4 13|11 12 13 14 18 133 199 248 258 324 422 428 433 434 435 437 439 505 510 570 639 692 764|9 10 11 13 15 20 30 65 70 130 199 268 324 426 435 436 437 438 573 576 639 698 764
desequilibrio|1nb1k1nr/Rpppqp1p/4p3/6p1/8/2P5/3PPPP1/2Q1KB1R b - - 5 13|11 12 13 14 18 133 199 240 258 324 422 428 433 434 435 437 439 505 510 570 639 692 764|9 10 11 13 15 20 30 65 70 130 199 268 324 426 435 436 437 438 573 584 639 698 764
desequilibrio|1nbk2nr/Rpppqp1p/4p3/6p1/8/2P5/3PPPP1/2Q1KB1R w - - 6 14|11 12 13 14 18 133 199 240 258 324 422 428 433 434 435 437 439 505 510 570 639 692 763|9 10 11 13 15 20 30 65 70 130 199 268 323 426 435 436 437 438 573 584 639 698 764
desequilibrio|1nbk2nr/Rpppqp1p/4p2R/6p1/8/2P5/3PPPP1/2Q1KB2 b - - 7 14|11 12 13 14 18 133 239 240 258 324 422 428 433 434 435 437 439 505 510 570 639 692 763|9 10 11 13 15 20 30 65 70 130 199 268 323 426 435 436 437 438 573 584 599 698 764
desequilibrio|1nbk3r/Rpppqp1p/4p2n/6p1/8/2P5/3PPPP1/2Q1KB2 w - - 0 15|11 12 13 14 18 133 240 258 324 422 428 433 434 435 437 439 495 505 570 639 692 763|9 10 11 13 15 20 30 65 87 130 199 268 323 426 435 436 437 438 573 584 698 764
desequilibrio|1nbk3r/1pppqp1p/4p2n/6p1/8/2P5/3PPPP1/R1Q1KB2 b - - 1 15|11 12 13 14 18 133 192 258 324 422 428 433 434 435 437 439 495 505 570 639 692 763|9 10 11 13 15 20 30 65 87 130 199 268 323 426 435 436 437 438 573 632 698 764
desequilibrio|1nbk3r/1pppqp1p/4p3/5np1/8/2P5/3PPPP1/R1Q1KB2 w - - 2 16|11 12 13 14 18 133 192 258 324 422 428 433 434 435 437 439 485 505 570 639 692 763|9 10 11 13 15 20 30 65 93 130 199 268 323 426 435 436 437 438 573 632 698 764
desequilibrio|1nbk3r/1pppqp1p/4p3/5n2/5p2/2P5/3PP1P1/R1Q1KB2 w - - 0 17|11 12 14 18 133 192 258 324 413 428 433 434 435 437 439 485 505 570 639 692 763|9 10 11 13 15 20 37 65 93 130 199 268 323 426 435 436 438 573 632 698 764
desequilibrio|1nbk3r/1pppqp1p/4p3/5n2/R4p2/2P5/3PP1P1/2Q1KB2 b - - 1 17|11 12 14 18 133 216 258 324 413 428 433 434 435 437 439 485 505 570 639 692 763|9 10 11 13 15 20 37 65 93 130 199 268 323 426 435 436 438 573 608 698 764
desequilibrio|1nbk3r/1pppqpnp/4p3/8/R4p2/2P5/3PP1P1/2Q1KB2 w - - 2 18|11 12 14 18 133 216 258 324 413 428 433 434 435 437 439 502 505 570 639 692 763|9 10 11 13 15 20 37 65 78 130 199 268 323 426 435 436 438 573 608 698 764
desequilibrio|1nbk3r/1pppqpnp/4p3/8/5p2/2P5/R2PP1P1/2Q1KB2 b - - 3 18|11 12 14 18 133 200 258 324 413 428 433 434 435 437 439 502 505 570 639 692 763|9 10 11 13 15 20 37 65 78 130 199 268 323 426 435 436 438 573 624 698 764
desequilibrio|1nbk3r/1ppp1pnp/4p3/8/1q3p2/2P5/R2PP1P1/2Q1KB2 w - - 4 19|11 12 14 18 133 200 258 324 413 428 433 434 435 437 439 502 505 570 639 665 763|9 10 11 13 15 20 37 65 78 130 199 289 323 426 435 436 438 573 624 698 764
desequilibrio|1nb1kr2/2pp1pQ1/4p3/1p6/1P3p2/8/R2PP1P1/4KB2 b - - 0 22|11 12 14 25 133 200 310 324 413 417 428 434 435 437 505 570 637 764|10 11 13 20 25 37 65 130 197 324 417 435 436 438 573 624 654 764
desequilibrio|1nb1kr2/2p2pQ1/3pp3/1p6/1P3p2/8/R2PP1P1/4KB2 w - - 0 23|11 12 14 25 133 200 310 324 413 417 427 428 434 437 505 570 637 764|10 13 19 20 25 37 65 130 197 324 417 435 436 438 573 624 654 764
desequilibrio|1nb1kr2/2p2p2/3pp2Q/1p6/1P3p2/8/R2PP1P1/4KB2 b - - 1 23|11 12 14 25 133 200 303 324 413 417 427 428 434 437 505 570 637 764|10 13 19 20 25 37 65 130 197 324 417 435 436 438 573 624 663 764
desequilibrio|1n2kr2/1bp2p2/3pp2Q/1p6/1P3p2/8/R2PP1P1/4KB2 w - - 2 24|11 12 14 25 133 200 303 324 413 417 427 428 434 437 505 561 637 764|10 13 19 20 25 37 65 137 197 324 417 435 436 438 573 624 663 764
desequilibrio|1n2kQ2/1bp2p2/3pp3/1p6/1P3p2/8/R2PP1P1/4KB2 b - - 0 24|11 12 14 25 133 200 317 324 413 417 427 428 434 437 505 561 764|10 13 19 20 25 37 65 137 324 417 435 436 438 573 624 645 764
desequilibrio|Rn3k2/2p2p2/3pp3/1p6/1P3p2/8/3PP1P1/4KB2 b - - 0 26|11 12 14 25 133 248 324 413 417 427 428 434 437 505 765|10 13 19 20 25 37 65 325 417 435 436 438 573 576 764
desequilibrio|Rn3k2/2p2p2/3p4/1p2p3/1P3p2/8/3PP1P1/4KB2 w - - 0 27|11 12 14 25 133 248 324 413 417 420 427 434 437 505 765|10 13 19 25 28 37 65 325 417 435 436 438 573 576 764
desequilibrio|1n3k2/2p2p2/3p4/1p2p3/1P3p2/R7/3PP1P1/4KB2 b - - 1 27|11 12 14 25 133 208 324 413 417 420 427 434 437 505 765|10 13 19 25 28 37 65 325 417 435 436 438 573 616 764
desequilibrio|5k2/2p2p2/2np4/1p2p3/1P3p2/R7/3PP1P1/4KB2 w - - 2 28|11 12 14 25 133 208 324 413 417 420 427 434 437 490 765|10 13 19 25 28 37 82 325 417 435 436 438 573 616 764
desequilibrio|5k2/2p2p2/2np4/1p2p3/1P3p2/2R5/3PP1P1/4KB2 b - - 3 28|11 12 14 25 133 210 324 413 417 420 427 434 437 490 765|10 13 19 25 28 37 82 325 417 435 436 438 573 618 764
desequilibrio|5k2/2p2p2/3p4/1p2p3/1P1n1p2/2R5/3PP1P1/4KB2 w - - 4 29|11 12 14 25 133 210 324 413 417 420 427 434 437 475 765|10 13 19 25 28 37 99 325 417 435 436 438 573 618 764
desequilibrio|5k2/2R2p2/3p4/1p2p3/1P1n1p2/8/3PP1P1/4KB2 b - - 0 29|11 12 14 25 133 242 324 413 417 420 427 437 475 765|13 19 25 28 37 99 325 417 435 436 438 573 586 764
